model_id,name,category,condition,sample_count,merchant_count,min_eur,p25_eur,median_eur,p75_eur,max_eur,delivered_min_eur,shipping_known_count,confidence,observed_at,eligible_for_review,notes
rtx-4070-super-12gb,RTX 4070 Super 12GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-4070-super-12gb,RTX 4070 Super 12GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-4070-ti-12gb,RTX 4070 Ti 12GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-4070-ti-12gb,RTX 4070 Ti 12GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-4070-ti-super-16gb,RTX 4070 Ti Super 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-4070-ti-super-16gb,RTX 4070 Ti Super 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-4080-16gb,RTX 4080 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-4080-16gb,RTX 4080 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-4080-super-16gb,RTX 4080 Super 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-4080-super-16gb,RTX 4080 Super 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-4090-24gb,RTX 4090 24GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-4090-24gb,RTX 4090 24GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-5060-8gb,RTX 5060 8GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-5060-8gb,RTX 5060 8GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-5060-ti-8gb,RTX 5060 Ti 8GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-5060-ti-8gb,RTX 5060 Ti 8GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-5060-ti-16gb,RTX 5060 Ti 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-5060-ti-16gb,RTX 5060 Ti 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-5070-12gb,RTX 5070 12GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-5070-12gb,RTX 5070 12GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-5070-ti-16gb,RTX 5070 Ti 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-5070-ti-16gb,RTX 5070 Ti 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-5080-16gb,RTX 5080 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-5080-16gb,RTX 5080 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rtx-5090-32gb,RTX 5090 32GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rtx-5090-32gb,RTX 5090 32GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-6600-8gb,RX 6600 8GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-6600-8gb,RX 6600 8GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-6600-xt-8gb,RX 6600 XT 8GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-6600-xt-8gb,RX 6600 XT 8GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-6650-xt-8gb,RX 6650 XT 8GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-6650-xt-8gb,RX 6650 XT 8GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-6700-xt-12gb,RX 6700 XT 12GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-6700-xt-12gb,RX 6700 XT 12GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-6750-xt-12gb,RX 6750 XT 12GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-6750-xt-12gb,RX 6750 XT 12GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-6800-16gb,RX 6800 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-6800-16gb,RX 6800 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-6800-xt-16gb,RX 6800 XT 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-6800-xt-16gb,RX 6800 XT 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-6900-xt-16gb,RX 6900 XT 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-6900-xt-16gb,RX 6900 XT 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-6950-xt-16gb,RX 6950 XT 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-6950-xt-16gb,RX 6950 XT 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-7600-8gb,RX 7600 8GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-7600-8gb,RX 7600 8GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-7600-xt-16gb,RX 7600 XT 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-7600-xt-16gb,RX 7600 XT 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-7700-xt-12gb,RX 7700 XT 12GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-7700-xt-12gb,RX 7700 XT 12GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-7800-xt-16gb,RX 7800 XT 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-7800-xt-16gb,RX 7800 XT 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-7900-gre-16gb,RX 7900 GRE 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-7900-gre-16gb,RX 7900 GRE 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-7900-xt-20gb,RX 7900 XT 20GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-7900-xt-20gb,RX 7900 XT 20GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-7900-xtx-24gb,RX 7900 XTX 24GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-7900-xtx-24gb,RX 7900 XTX 24GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-9060-xt-8gb,RX 9060 XT 8GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-9060-xt-8gb,RX 9060 XT 8GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-9060-xt-16gb,RX 9060 XT 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-9060-xt-16gb,RX 9060 XT 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-9070-16gb,RX 9070 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-9070-16gb,RX 9070 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
rx-9070-xt-16gb,RX 9070 XT 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
rx-9070-xt-16gb,RX 9070 XT 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
arc-a750-8gb,Arc A750 8GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
arc-a750-8gb,Arc A750 8GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
arc-a770-16gb,Arc A770 16GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
arc-a770-16gb,Arc A770 16GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
arc-b580-12gb,Arc B580 12GB,gpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
arc-b580-12gb,Arc B580 12GB,gpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-5-3600,Ryzen 5 3600,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-5-3600,Ryzen 5 3600,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-5-5500,Ryzen 5 5500,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-5-5500,Ryzen 5 5500,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-5-5600,Ryzen 5 5600,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-5-5600,Ryzen 5 5600,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-5-5600x,Ryzen 5 5600X,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-5-5600x,Ryzen 5 5600X,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-7-5700x,Ryzen 7 5700X,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-7-5700x,Ryzen 7 5700X,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-7-5700x3d,Ryzen 7 5700X3D,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-7-5700x3d,Ryzen 7 5700X3D,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-7-5800x3d,Ryzen 7 5800X3D,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-7-5800x3d,Ryzen 7 5800X3D,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-5-7500f,Ryzen 5 7500F,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-5-7500f,Ryzen 5 7500F,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-5-7600,Ryzen 5 7600,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-5-7600,Ryzen 5 7600,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-5-7600x,Ryzen 5 7600X,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-5-7600x,Ryzen 5 7600X,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-7-7700,Ryzen 7 7700,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-7-7700,Ryzen 7 7700,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-7-7800x3d,Ryzen 7 7800X3D,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-7-7800x3d,Ryzen 7 7800X3D,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-9-7950x,Ryzen 9 7950X,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-9-7950x,Ryzen 9 7950X,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-5-9600x,Ryzen 5 9600X,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-5-9600x,Ryzen 5 9600X,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-7-9700x,Ryzen 7 9700X,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-7-9700x,Ryzen 7 9700X,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-7-9800x3d,Ryzen 7 9800X3D,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-7-9800x3d,Ryzen 7 9800X3D,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-9-9900x,Ryzen 9 9900X,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-9-9900x,Ryzen 9 9900X,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-9-9950x,Ryzen 9 9950X,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-9-9950x,Ryzen 9 9950X,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
ryzen-9-9950x3d,Ryzen 9 9950X3D,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
ryzen-9-9950x3d,Ryzen 9 9950X3D,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-i3-12100f,Intel Core i3-12100F,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-i3-12100f,Intel Core i3-12100F,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-i5-12400f,Intel Core i5-12400F,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-i5-12400f,Intel Core i5-12400F,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-i5-13400f,Intel Core i5-13400F,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-i5-13400f,Intel Core i5-13400F,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-i5-13600k,Intel Core i5-13600K,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-i5-13600k,Intel Core i5-13600K,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-i5-14400f,Intel Core i5-14400F,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-i5-14400f,Intel Core i5-14400F,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-i5-14600k,Intel Core i5-14600K,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-i5-14600k,Intel Core i5-14600K,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-i7-14700k,Intel Core i7-14700K,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-i7-14700k,Intel Core i7-14700K,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-i9-14900k,Intel Core i9-14900K,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-i9-14900k,Intel Core i9-14900K,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-ultra-5-245k,Intel Core Ultra 5 245K,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-ultra-5-245k,Intel Core Ultra 5 245K,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-ultra-7-265k,Intel Core Ultra 7 265K,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-ultra-7-265k,Intel Core Ultra 7 265K,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
intel-core-ultra-9-285k,Intel Core Ultra 9 285K,cpu,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
intel-core-ultra-9-285k,Intel Core Ultra 9 285K,cpu,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
msi-b650-gaming-plus-wifi,MSI B650 Gaming Plus WiFi,motherboard,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
msi-b650-gaming-plus-wifi,MSI B650 Gaming Plus WiFi,motherboard,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
msi-b550-tomahawk,MSI B550 Tomahawk,motherboard,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
msi-b550-tomahawk,MSI B550 Tomahawk,motherboard,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
gigabyte-b650-eagle-ax,Gigabyte B650 Eagle AX,motherboard,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
gigabyte-b650-eagle-ax,Gigabyte B650 Eagle AX,motherboard,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
asus-tuf-gaming-b760-plus-wifi-ddr5,ASUS TUF Gaming B760-Plus WiFi DDR5,motherboard,new,0,0,,,,,,,0,no_data,,False,Observed retail offers; verify checkout and exact SKU
asus-tuf-gaming-b760-plus-wifi-ddr5,ASUS TUF Gaming B760-Plus WiFi DDR5,motherboard,used,0,0,,,,,,,0,no_data,,False,OLX asking prices; not sold prices
